sample_name,kind,reference,compared_to,R_factor,Pearson,RMSE,MAE,n_pts
mp-23926__mp-23926-EXAFS-Hg-K,xmu,orig,true,1.293882205403486e+39,0.0065645573776684915,3.435753605796764e+19,1.0798651161354246e+19,200
mp-23926__mp-23926-EXAFS-Hg-K,xmu,true,pred,1.0,-0.015242465041606479,3.430706530867605e+19,1.0828977998901758e+19,200
mp-2674__mp-2674-EXAFS-Y-K,chi,orig,pred,62889.281563073375,0.13893450254664638,33.18990731941197,27.671703856232945,200
mp-2674__mp-2674-EXAFS-Y-K,chi,orig,true,194360.90606312914,0.15588772698692513,58.34749029391467,49.8774988005043,200
mp-2674__mp-2674-EXAFS-Y-K,chi,true,pred,0.18821901487375028,0.9954479705739041,24.709135855607336,21.19871796540201,200
mp-2674__mp-2674-EXAFS-Y-K,xmu,orig,pred,1.0000179256188155,-0.043345019710453,0.8875798288221832,0.8839300895700961,200
mp-2674__mp-2674-EXAFS-Y-K,xmu,orig,true,1.000255427076318,0.04414560448481403,0.8875328692003595,0.8840330475402405,200
mp-2674__mp-2674-EXAFS-Y-K,xmu,true,pred,1.0298624737852193,0.18485734261605657,0.029573833395616318,0.02462143093493882,200
mp-6793__mp-6793-EXAFS-La-K,chi,orig,pred,2343346.3152270135,-0.010080964294364114,36.849964633752464,30.629682619768854,200
mp-6793__mp-6793-EXAFS-La-K,chi,orig,true,2756946.366080764,-0.009244641783153661,39.969893948038695,32.24009360529649,200
mp-6793__mp-6793-EXAFS-La-K,chi,true,pred,0.011466637043016873,0.9939755205340743,4.178315185076331,3.2206712773366832,200
mp-6793__mp-6793-EXAFS-La-K,xmu,orig,pred,1.0001990020425107,-0.42810057299238297,0.9151451910370104,0.9141721548041372,200
mp-6793__mp-6793-EXAFS-La-K,xmu,orig,true,1.0002832597063156,0.0013630648560225538,0.9149416047269715,0.9141223449611141,200
mp-6793__mp-6793-EXAFS-La-K,xmu,true,pred,2.7137376633503765,0.0726255448981493,0.01576348782466722,0.009258791539235336,200
mp-765005__mp-765005-EXAFS-Si-K,chi,orig,pred,23359.3855400683,0.21856569187244163,50.73442062802778,41.85610309163683,200
mp-765005__mp-765005-EXAFS-Si-K,chi,orig,true,,,,,0
mp-765005__mp-765005-EXAFS-Si-K,chi,true,pred,,,,,0
mp-765005__mp-765005-EXAFS-Si-K,xmu,orig,pred,0.9918374165780132,0.23074238306756276,0.6099125237672304,0.5510952938090605,200
mp-765005__mp-765005-EXAFS-Si-K,xmu,orig,true,,,,,0
mp-765005__mp-765005-EXAFS-Si-K,xmu,true,pred,,,,,0
mp-769563__mp-769563-EXAFS-V-K,chi,orig,pred,2145.2076873278857,0.21504034893941726,25.763062699072186,20.697271641745385,200
mp-769563__mp-769563-EXAFS-V-K,chi,orig,true,,,,,0
mp-769563__mp-769563-EXAFS-V-K,chi,true,pred,,,,,0
mp-769563__mp-769563-EXAFS-V-K,xmu,orig,pred,1.0064286894225472,-0.24085540472387781,0.7622057151965889,0.7471262002575167,200
mp-769563__mp-769563-EXAFS-V-K,xmu,orig,true,,,,,0
mp-769563__mp-769563-EXAFS-V-K,xmu,true,pred,,,,,0
mp-775640__mp-775640-EXAFS-Te-K,chi,orig,pred,70482.92087731083,-0.1689951131913759,30.143460484172095,23.66662131973175,200
mp-775640__mp-775640-EXAFS-Te-K,chi,orig,true,,,,,0
mp-775640__mp-775640-EXAFS-Te-K,chi,true,pred,,,,,0
mp-775640__mp-775640-EXAFS-Te-K,xmu,orig,pred,0.9995188987056626,0.06392653845511831,0.9645164049585226,0.9631921471595336,200
mp-775640__mp-775640-EXAFS-Te-K,xmu,orig,true,,,,,0
mp-775640__mp-775640-EXAFS-Te-K,xmu,true,pred,,,,,0
mp-861947__mp-861947-EXAFS-Ga-K,chi,orig,pred,80092.48466936922,0.09760315931025294,28.618843582455703,21.72593617558757,200
mp-861947__mp-861947-EXAFS-Ga-K,chi,orig,true,365714.6603330978,0.1267372033373245,61.15435397248983,51.45269386097502,200
mp-861947__mp-861947-EXAFS-Ga-K,chi,true,pred,0.2998469829352636,0.9859390193487579,32.684943843560546,28.886232746641408,200
mp-861947__mp-861947-EXAFS-Ga-K,xmu,orig,pred,1.003282574564726,-0.19235201451798933,0.8687497434421243,0.863685214239403,200
mp-861947__mp-861947-EXAFS-Ga-K,xmu,orig,true,1.0082976115597704,-0.41310074130076324,0.878680962947338,0.8691191950642323,200
