mp_id,split,lattice_matched,length_rmse,angle_mae,pred_valid,gt_valid,n_atoms,pred_len_max,pred_len_mean,gt_len_mean,is_ionic,quality_tier,element
1178282,test,False,2.159771203994751,13.467310905456543,True,True,104,11.965605735778809,11.021114349365234,11.603968620300293,False,C,Fe
1178288,test,False,1.7718703746795654,27.548643112182617,True,True,60,14.413725852966309,9.739660263061523,9.390973091125488,False,C,Fe
1178291,test,False,5.769387245178223,27.292221069335938,True,True,78,11.627540588378906,9.74173355102539,11.849831581115723,False,A,Fe
1178294,test,False,4.226639270782471,5.432016849517822,True,True,84,10.184659957885742,10.101764678955078,10.732007026672363,False,A,Fe
1178337,test,False,1.3568906784057617,4.118105411529541,True,True,88,12.775333404541016,11.755940437316895,11.76964282989502,False,A,Fe
1178402,test,False,7561.4443359375,85.83474731445312,True,True,192,8228.5537109375,7559.005859375,12.45183277130127,False,A,Fe
1178466,test,False,1553.13818359375,67.61451721191406,True,True,60,2082.792724609375,1499.7529296875,9.13099193572998,False,C,Fe
1180952,test,False,4.527768611907959,3.16998291015625,True,True,72,17.772493362426758,10.860957145690918,9.553040504455566,True,A,K
1181219,test,False,3.346867561340332,7.495584964752197,True,True,72,15.467470169067383,10.75202465057373,9.497864723205566,False,A,Fe
1181439,test,True,1.454480528831482,1.551378846168518,True,True,72,14.142217636108398,10.040488243103027,10.27767562866211,False,A,Fe
1181596,test,False,1.6845029592514038,3.8170955181121826,True,True,68,13.91272258758545,9.653484344482422,8.976374626159668,False,A,Bi
1181604,test,False,3.0345630645751953,16.74309730529785,True,True,72,10.546650886535645,9.516261100769043,9.863883018493652,False,A,Fe
1181718,test,False,1.5841144323349,14.999974250793457,True,True,72,11.235553741455078,9.669416427612305,8.933673858642578,False,A,Fe
1181824,test,True,1.3885242938995361,6.773277282714844,True,True,60,13.902240753173828,9.527091026306152,9.201343536376953,False,A,Fe
1182492,test,False,3.43869948387146,30.312658309936523,True,True,66,10.499500274658203,9.173869132995605,11.59162425994873,False,A,Fe
