folder_name,mp_id,element,site_id,is_ionic,source_path,quality_tier
mp_17881_SrFeP2O7__feff_Fe_site_01,17881,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_17881_SrFeP2O7__feff_Fe_site_01,A
mp_18085_Fe4Co3PO46__feff_Fe_site_01,18085,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_18085_Fe4Co3PO46__feff_Fe_site_01,A
mp_2216237_MgCr2Fe3NiPO46__feff_Fe_site_01,2216237,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_2216237_MgCr2Fe3NiPO46__feff_Fe_site_01,A
mp_2216303_MgFe3Co2SbPO46__feff_Fe_site_01,2216303,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_2216303_MgFe3Co2SbPO46__feff_Fe_site_01,C
mp_2217483_BaEuMgFe2O5__feff_Fe_site_01,2217483,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_2217483_BaEuMgFe2O5__feff_Fe_site_01,A
mp_2227022_MgFeAuO2__feff_Fe_site_01,2227022,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_2227022_MgFeAuO2__feff_Fe_site_01,A
mp_2228386_MgFe6OF6__feff_Fe_site_01,2228386,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_2228386_MgFe6OF6__feff_Fe_site_01,B
mp_2228453_MgMn4FeO8__feff_Fe_site_01,2228453,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_2228453_MgMn4FeO8__feff_Fe_site_01,A
mp_2229021_MgTi2Fe2O52__feff_Fe_site_01,2229021,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_2229021_MgTi2Fe2O52__feff_Fe_site_01,C
mp_2229218_MgZn2Fe2SiO52__feff_Fe_site_01,2229218,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_2229218_MgZn2Fe2SiO52__feff_Fe_site_01,A
mp_2230150_Sr4MgFe4O11__feff_Fe_site_01,2230150,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_2230150_Sr4MgFe4O11__feff_Fe_site_01,A
mp_2230781_MgFeCo5O12__feff_Fe_site_01,2230781,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_2230781_MgFeCo5O12__feff_Fe_site_01,A
mp_2231423_MgFe6O7F5__feff_Fe_site_01,2231423,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_2231423_MgFe6O7F5__feff_Fe_site_01,A
mp_2231444_MgFe6O11F__feff_Fe_site_01,2231444,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_2231444_MgFe6O11F__feff_Fe_site_01,A
mp_2231540_MgFe3PO43__feff_Fe_site_01,2231540,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_2231540_MgFe3PO43__feff_Fe_site_01,A
mp_2352131_KFeO2__feff_Fe_site_01,2352131,Fe,01,False,C:\Users\T-Cat\Desktop\XAS-FeO\site_dataset\mp_2352131_KFeO2__feff_Fe_site_01,C
