center_element,n_gaps,mean,median,p80,p85,p90,p95
Be,19103,0.05459881201386452,0.0,0.04695531725883484,0.07233434915542603,0.12220470607280731,0.27431201934814453
Tb,18959,0.06602872163057327,0.0,0.06817609071731567,0.10607339441776276,0.1783001869916916,0.3743564784526825
Hg,18396,0.08690238744020462,0.0049381256103515625,0.10486340522766113,0.1509953737258911,0.24239206314086914,0.46362733840942383
Hf,16442,0.06529917567968369,0.0,0.052832506597042084,0.0863821879029274,0.15928338468074799,0.363837867975235
Eu,16262,0.0659458115696907,0.0,0.06578406691551208,0.10578515380620956,0.18200236558914185,0.3800310790538788
Re,16255,0.07260268926620483,0.0,0.06767216324806213,0.10254674404859543,0.17643199861049652,0.37419047951698303
Lu,15181,0.0632961094379425,0.0,0.057303428649902344,0.09327173233032227,0.1622934341430664,0.3640172481536865
Tm,14323,0.06525225937366486,0.0,0.051485199481248856,0.09198665618896484,0.1674049347639084,0.4033094048500061
Os,12214,0.07068879157304764,0.0,0.050325315445661545,0.09299173206090927,0.18707729876041412,0.4373202323913574
Yb,12042,0.06896115094423294,0.0,0.01935962215065956,0.07340174168348312,0.1846347153186798,0.48999112844467163
Th,11017,0.06879111379384995,0.0,0.05108146741986275,0.08996618539094925,0.1779758185148239,0.4340003430843353
Pu,5477,0.06834609061479568,0.0,0.017558319494128227,0.0682605504989624,0.1646660715341568,0.5015304088592529
Tc,5471,0.06723026186227798,0.0,0.02449512481689453,0.061789751052856445,0.16933059692382812,0.4503253698348999
Np,4362,0.07129394263029099,0.0,0.045181754976511,0.08936925232410431,0.16796989738941193,0.4679626524448395
Pm,2532,0.07213250547647476,0.0,0.0,0.0,0.0,0.610353946685791
Xe,2312,0.07804528623819351,0.029010772705078125,0.09575453400611877,0.11932118982076645,0.17255432903766632,0.3116888999938965
Pa,2297,0.06888417154550552,0.0,0.0,0.0,0.1222728043794632,0.621761679649353
Ac,1223,0.09430526942014694,0.0,0.0,0.0,0.25101202726364136,0.8937027454376221
Kr,394,0.08235727995634079,0.02968013286590576,0.09532973915338516,0.1254352331161499,0.17083372175693512,0.26775091886520386
He,168,0.06365475803613663,0.0,0.0,0.0,0.0011891962494701147,0.6457149982452393
Ne,54,0.0678996592760086,0.0,0.0,0.0,0.0,0.7333541512489319
Ar,36,0.15041285753250122,0.0,0.0,0.0,0.5006545782089233,1.296715259552002
