center_element,n_samples,mean_eval_cutoff,median_eval_cutoff,p5_eval_cutoff,p95_eval_cutoff,mean_shell1_n,mean_shell1_outer,mean_shell2_outer,mean_n_shells
Sb,1595,4.854321525836813,4.69276762008667,3.7970252990722657,6.17487654685974,4.840752351097179,2.459600900781566,3.3896050581737747,10.945454545454545
Se,1589,5.230265555552824,5.070158958435059,4.108790302276612,6.672360801696777,3.0346129641283826,2.3969631378121012,3.312278160064606,11.161107614852108
Zn,1563,4.467251075053932,4.3221540451049805,3.5445056915283204,5.6664244651794435,4.957133717210493,2.293737738542807,3.1855613954999242,11.233525271912988
Sn,1552,4.788248213296084,4.657168626785278,3.7838966608047486,6.067058038711547,5.158505154639175,2.563294555108572,3.4109474632543386,11.542525773195877
Mg,1457,4.483061117919734,4.17448616027832,3.51794695854187,5.700926971435548,5.717913520933425,2.396371351338938,3.219569769966005,10.79066575154427
Ge,1453,4.664852624750105,4.511490821838379,3.7644546031951904,5.82907781600952,4.4673090158293185,2.3394036097766118,3.295213409727061,12.183757742601514
Sr,1413,4.549061727456311,4.256958961486816,3.4770720958709718,6.052737236022948,7.208067940552017,2.8762791966683294,3.473100029037627,10.91790516631281
Bi,1336,4.909925151727871,4.647918224334717,3.8196969628334045,6.444623112678528,4.830089820359281,2.5663433843208643,3.3746996554072033,10.434131736526947
Te,1309,5.138326430156815,5.061589241027832,3.941755533218384,6.541714000701904,3.9686783804430865,2.5166697363711386,3.34030277251833,10.82200152788388
As,1163,4.95662891690524,4.73026704788208,3.8496813058853148,6.677115583419784,4.328460877042132,2.2279191617809895,3.4284614644374503,10.575236457437661
La,1130,4.603453776899692,4.384213447570801,3.432725465297699,5.966918969154358,7.153982300884956,2.837940792066861,3.47546718057278,11.028318584070796
Mo,1088,4.749474851743264,4.5134618282318115,3.840016508102417,6.181449007987973,4.747242647058823,2.0820663949365126,3.0480554952998373,9.456801470588236
Nb,1071,4.680489459959399,4.46928071975708,3.7872202396392822,6.000911474227905,5.277310924369748,2.2485601072774437,3.07673426246554,10.699346405228757
In,1052,4.95597249428129,4.9220685958862305,3.9043877124786377,5.996278166770935,5.834600760456274,2.802781097789228,3.5897574084793207,12.229087452471482
Rb,1035,4.959878460796559,4.776991844177246,3.8315284967422487,6.428797340393066,8.87632850241546,3.358951127241199,3.962518536385463,10.46376811594203
Ag,1009,4.784719822073598,4.746719837188721,3.7965840816497805,5.773397636413572,4.570862239841428,2.6126500468542364,3.2501551757600784,11.806739345887017
Cs,978,5.1152294020955065,4.950633525848389,3.9689438104629517,6.502682852745056,9.756646216768916,3.592176492960175,4.182668295083041,11.085889570552148
Ga,962,4.661842430703605,4.52824592590332,3.6939821243286133,5.977974987030028,5.149688149688149,2.3983362695035715,3.3638521467573677,11.912681912681913
W,949,4.53365085825905,4.30463171005249,3.787659740447998,5.806412315368652,5.128556375131717,2.084447751055276,3.1109415880621296,9.663856691253951
Y,944,4.612698320109965,4.425485610961914,3.5418336629867553,6.048786282539367,7.151483050847458,2.6524622392351342,3.4886972457170486,11.514830508474576
I,914,5.644754818284016,5.675987243652344,4.146180272102356,6.98960199356079,3.010940919037199,2.847369019390457,3.7048861719586395,11.715536105032823
Pb,796,4.894019404248376,4.744060277938843,3.8224164247512817,6.157011389732361,5.293969849246231,2.764530202252182,3.4345511524521526,11.136934673366834
Cd,788,5.027727389396144,4.928042888641357,3.7882816195487976,6.180941700935364,5.6421319796954315,2.726044951356607,3.5910226212540253,11.756345177664974
Ta,765,4.693762570736455,4.482447147369385,3.786755847930908,6.072404289245606,5.6418300653594775,2.256773087557624,3.215387732842389,11.013071895424837
Br,763,5.355721912721506,5.3642048835754395,3.9806508302688597,6.4977446556091305,2.815203145478375,2.758138698956601,3.59379633757265,11.90170380078637
Zr,755,4.688505783459998,4.603122711181641,3.7118518114089967,5.875051021575927,6.7218543046357615,2.517599619145425,3.456962590186012,11.773509933774834
Tl,745,5.0352444267913,4.994399070739746,3.9233756065368652,6.244856452941894,5.676510067114094,3.043784827673995,3.651910524880326,11.2
Pd,727,4.664332284560066,4.666150093078613,3.9073710680007934,5.382313919067382,5.944979367262723,2.5931132036521314,3.3452550200681412,13.46767537826685
Nd,727,4.6898351145249775,4.4778008460998535,3.567555642127991,5.880471563339233,7.591471801925723,2.827330168864422,3.53988889355771,11.309491059147181
Ce,718,4.75943891085622,4.766655445098877,3.576607692241669,5.821158432960511,8.341225626740947,2.9315928429946263,3.606306362949042,11.881615598885794
U,688,4.704748645771382,4.674373149871826,3.7228286504745483,5.680560421943665,6.321220930232558,2.50807430733775,3.2740579684113347,12.283430232558139
Rh,642,4.538922279794639,4.530400037765503,3.8067929267883303,5.297484111785889,5.953271028037383,2.524170036999236,3.210517601060719,13.71651090342679
Pt,640,4.630636079981923,4.626383066177368,3.784930408000946,5.4064950942993155,6.24375,2.550998766720295,3.3828933339565994,13.03125
Pr,624,4.741180630066456,4.691462516784668,3.4305137753486634,5.928801536560059,7.506410256410256,2.876708975587136,3.5624353618193894,11.33974358974359
Ru,610,4.5242874231494845,4.378338813781738,3.8112023949623106,5.409338569641113,5.744262295081967,2.3597366913420257,3.138637056897898,13.3672131147541
Au,594,4.910793391141024,4.842170000076294,4.091065692901611,5.907021021842957,5.683501683501683,2.675976093168612,3.4406562573982007,12.454545454545455
Hg,565,5.094520440143821,5.04461145401001,3.9583745479583743,6.3822208404541,4.152212389380531,2.643287251691903,3.342262464287007,11.589380530973452
Sm,539,4.758425789994079,4.718232154846191,3.623722791671753,5.879164552688598,7.448979591836735,2.8269557877683904,3.5299641785241236,11.801484230055658
Sc,537,4.542149177476681,4.519731521606445,3.5481157302856445,5.484503078460693,7.143389199255121,2.5845166236106687,3.3647877126654655,11.921787709497206
Ho,508,4.659661525816429,4.574456214904785,3.5808107256889343,5.6739161014556885,7.637795275590551,2.7550469589984323,3.442186042079775,11.67716535433071
Ir,505,4.564972359119075,4.540717601776123,3.851804733276367,5.388693046569823,6.304950495049505,2.4864724551097,3.286057225784453,13.05940594059406
Er,502,4.643845817957266,4.7088706493377686,3.5487563371658326,5.644216370582581,7.878486055776892,2.7838907213325044,3.529356424552036,11.822709163346614
Dy,483,4.718004352064113,4.7573347091674805,3.6145410537719727,5.684959363937378,7.6107660455486545,2.8116541664052455,3.5170218431184503,12.055900621118013
Gd,462,4.656058559170017,4.543002605438232,3.5053449630737306,5.732143068313598,7.508658008658009,2.7304914580795154,3.4960196652969757,11.303030303030303
Tb,451,4.665450386884736,4.673221111297607,3.5523154735565186,5.728890895843506,7.403547671840355,2.7790251756190196,3.496768297483017,12.008869179600888
Eu,399,4.595416496869616,4.414527893066406,3.4811497926712036,5.7396969795227015,8.05513784461153,2.9005492372919144,3.572503057040069,12.112781954887218
Re,371,4.764503786827355,4.528027534484863,3.7907387018203735,6.063048839569092,5.787061994609164,2.2159134923929797,3.2043498362492358,11.547169811320755
Hf,366,4.611948102549777,4.582270383834839,3.8100664019584656,5.489641070365906,7.095628415300546,2.579215921013733,3.4580321201209814,11.866120218579235
Lu,335,4.605537342669359,4.5842742919921875,3.497511458396912,5.567315196990967,7.498507462686567,2.6857122101000885,3.4907002057602154,12.128358208955223
Tm,333,4.626567929356664,4.721289157867432,3.557456064224243,5.623462390899658,7.912912912912913,2.8082859824011632,3.5048624853472092,11.867867867867869
Be,309,4.357962038910505,4.050623893737793,3.4161725521087645,6.058264541625974,5.349514563106796,1.967093372422129,3.012026085436923,11.53074433656958
Yb,303,4.723265437796565,4.773792743682861,3.577440333366394,5.657774257659911,7.904290429042904,2.85819937372365,3.599992342121137,13.072607260726073
Th,278,4.742399159952891,4.792896032333374,3.645712125301361,5.839994502067565,8.798561151079136,2.931679371449587,3.716720482428297,12.413669064748202
Os,274,4.573212570517603,4.495776653289795,3.875971591472626,5.358942985534668,5.737226277372263,2.333382853191264,3.163685151695335,12.423357664233576
Pu,138,4.757082669631295,4.769383668899536,3.707316052913666,5.795936369895935,9.108695652173912,2.8954188227653503,3.7781244982843813,13.101449275362318
Tc,121,4.502490634760581,4.482910633087158,3.8131253719329834,5.172122478485107,6.975206611570248,2.4920977334345666,3.1966521858183805,12.760330578512397
Np,109,4.75921717477501,4.776796340942383,3.920220899581909,5.730420875549316,8.440366972477063,2.739886746494048,3.537607267362262,12.311926605504587
Pm,71,5.049313148982089,5.001755237579346,4.612177848815918,5.504257917404175,8.169014084507042,3.088679545362231,3.6388324012219067,10.774647887323944
Xe,56,5.412807404994965,5.036417007446289,4.423541784286499,7.284690499305725,2.8392857142857144,2.115150415471622,2.998312064579555,7.75
Pa,54,4.741706918787073,4.808755874633789,3.7938371300697327,5.6477094173431395,8.407407407407407,2.791954411400689,3.658122455632245,12.296296296296296
Ac,47,5.235320141974916,5.2869696617126465,4.121901750564575,6.002458095550537,8.340425531914894,3.290467774614375,3.9777406580904695,10.936170212765957
Kr,8,5.41527259349823,5.395750999450684,4.445491027832031,6.691995930671691,2.5,2.1268665194511414,2.6894080340862274,8.125
He,3,4.703954696655273,4.62489652633667,4.609473180770874,4.853776931762695,10.666666666666666,2.827049891153971,3.7523473103841147,13.666666666666666
Ar,2,6.596680402755737,6.596680402755737,6.571320223808288,6.622040581703186,12.0,3.912887692451477,5.516993045806885,7.5
Ne,1,5.137828826904297,5.137828826904297,5.137828826904297,5.137828826904297,12.0,2.9663267135620117,4.195019721984863,11.0
