folder_name,folder_path,mp_id,formula,site_nn,has_chi1,has_xmu,has_poscar,chi_diff_std,chi_zero_cross,chi1_valid,chi1_reason,xmu_valid,xmu_reason
mp_1013899_LiFe3P3O13__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1013899_LiFe3P3O13__feff_Fe_site_01,mp_1013899,LiFe3P3O13_,01,True,True,True,0.03769522456997111,27,True,ok,True,ok
mp_1013910_LiFe2P2O9__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1013910_LiFe2P2O9__feff_Fe_site_01,mp_1013910,LiFe2P2O9_,01,True,True,True,0.04025254651828259,27,True,ok,True,ok
mp_1016260_Mg3Fe_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1016260_Mg3Fe_feff_Fe_site_01,mp_1016260,Mg3Fe,01,True,True,True,0.11203065092536309,46,True,ok,True,ok
mp_1016317_Mg7Fe_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1016317_Mg7Fe_feff_Fe_site_01,mp_1016317,Mg7Fe,01,True,True,True,0.07936657130490374,45,True,ok,True,ok
mp_1017511_Cr3Fe_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1017511_Cr3Fe_feff_Fe_site_01,mp_1017511,Cr3Fe,01,True,True,True,0.09955665644071862,39,True,ok,True,ok
mp_1018012_TiFeCoGe_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1018012_TiFeCoGe_feff_Fe_site_01,mp_1018012,TiFeCoGe,01,True,True,True,0.07788068644515596,38,True,ok,True,ok
mp_1018024_MnFeCoGe_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1018024_MnFeCoGe_feff_Fe_site_01,mp_1018024,MnFeCoGe,01,True,True,True,0.07436568704602674,35,True,ok,True,ok
mp_1018046_MnGaFe2_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1018046_MnGaFe2_feff_Fe_site_01,mp_1018046,MnGaFe2,01,True,True,True,0.07367282742635595,35,True,ok,True,ok
mp_1018052_HoFeC2__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1018052_HoFeC2__feff_Fe_site_01,mp_1018052,HoFeC2_,01,True,True,True,0.0714246637750699,31,True,ok,True,ok
mp_1018061_FeH3_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1018061_FeH3_feff_Fe_site_01,mp_1018061,FeH3,01,True,True,True,0.08763052408471049,37,True,ok,True,ok
mp_1018062_FeSnRh2_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1018062_FeSnRh2_feff_Fe_site_01,mp_1018062,FeSnRh2,01,True,True,True,0.10336724204387353,41,True,ok,True,ok
mp_1018064_ErFeC2__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1018064_ErFeC2__feff_Fe_site_01,mp_1018064,ErFeC2_,01,True,True,True,0.09246817596405002,31,True,ok,True,ok
mp_1018065_DyFeC2__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1018065_DyFeC2__feff_Fe_site_01,mp_1018065,DyFeC2_,01,True,True,True,0.09767817253586883,34,True,ok,True,ok
mp_1018067_CrFe3_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1018067_CrFe3_feff_Fe_site_01,mp_1018067,CrFe3,01,True,True,True,0.06480977351653558,37,True,ok,True,ok
mp_1018067_CrFe3_feff_Fe_site_02,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1018067_CrFe3_feff_Fe_site_02,mp_1018067,CrFe3,02,True,True,True,0.07064973058261975,35,True,ok,True,ok
mp_1018068_CrFe2Si_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1018068_CrFe2Si_feff_Fe_site_01,mp_1018068,CrFe2Si,01,True,True,True,0.07767307654954966,36,True,ok,True,ok
mp_1018070_Ti2InFe_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1018070_Ti2InFe_feff_Fe_site_01,mp_1018070,Ti2InFe,01,True,True,True,0.12105735449551538,40,True,ok,True,ok
mp_1018071_MnFe2Ge_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1018071_MnFe2Ge_feff_Fe_site_01,mp_1018071,MnFe2Ge,01,True,True,True,0.07330283519060897,35,True,ok,True,ok
