folder_name,folder_path,mp_id,formula,site_nn,has_chi1,has_xmu,has_poscar,chi_std,chi1_valid,chi1_reason,xmu_valid,xmu_reason
mp_1013899_LiFe3P3O13__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1013899_LiFe3P3O13__feff_Fe_site_01,mp_1013899,LiFe3P3O13_,01,True,True,True,0.17551213630009113,True,ok,True,ok
mp_1013910_LiFe2P2O9__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1013910_LiFe2P2O9__feff_Fe_site_01,mp_1013910,LiFe2P2O9_,01,True,True,True,0.18480881379221326,True,ok,True,ok
mp_1016260_Mg3Fe_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1016260_Mg3Fe_feff_Fe_site_01,mp_1016260,Mg3Fe,01,True,True,True,0.12247620816212298,True,ok,True,ok
mp_1016317_Mg7Fe_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1016317_Mg7Fe_feff_Fe_site_01,mp_1016317,Mg7Fe,01,True,True,True,0.13146994514911278,True,ok,True,ok
mp_1017511_Cr3Fe_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1017511_Cr3Fe_feff_Fe_site_01,mp_1017511,Cr3Fe,01,True,True,True,0.2792807602002663,True,ok,True,ok
mp_1018012_TiFeCoGe_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1018012_TiFeCoGe_feff_Fe_site_01,mp_1018012,TiFeCoGe,01,True,True,True,0.3030411745577643,True,ok,True,ok
mp_1018024_MnFeCoGe_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1018024_MnFeCoGe_feff_Fe_site_01,mp_1018024,MnFeCoGe,01,True,True,True,0.32715184781831985,True,ok,True,ok
mp_1018046_MnGaFe2_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1018046_MnGaFe2_feff_Fe_site_01,mp_1018046,MnGaFe2,01,True,True,True,0.33575521973326816,True,ok,True,ok
mp_1018052_HoFeC2__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1018052_HoFeC2__feff_Fe_site_01,mp_1018052,HoFeC2_,01,True,True,True,0.19177676329713128,True,ok,True,ok
mp_1018061_FeH3_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1018061_FeH3_feff_Fe_site_01,mp_1018061,FeH3,01,True,True,True,0.25745323803141634,True,ok,True,ok
mp_1018062_FeSnRh2_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1018062_FeSnRh2_feff_Fe_site_01,mp_1018062,FeSnRh2,01,True,True,True,0.31628485079151486,True,ok,True,ok
mp_1018064_ErFeC2__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1018064_ErFeC2__feff_Fe_site_01,mp_1018064,ErFeC2_,01,True,True,True,0.19280047101716458,True,ok,True,ok
mp_1018065_DyFeC2__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1018065_DyFeC2__feff_Fe_site_01,mp_1018065,DyFeC2_,01,True,True,True,0.18548492818328516,True,ok,True,ok
mp_1018067_CrFe3_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1018067_CrFe3_feff_Fe_site_01,mp_1018067,CrFe3,01,True,True,True,0.3526117881346251,True,ok,True,ok
mp_1018067_CrFe3_feff_Fe_site_02,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1018067_CrFe3_feff_Fe_site_02,mp_1018067,CrFe3,02,True,True,True,0.3538559373338922,True,ok,True,ok
mp_1018068_CrFe2Si_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1018068_CrFe2Si_feff_Fe_site_01,mp_1018068,CrFe2Si,01,True,True,True,0.214213699906624,True,ok,True,ok
mp_1018070_Ti2InFe_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1018070_Ti2InFe_feff_Fe_site_01,mp_1018070,Ti2InFe,01,True,True,True,0.21151890357426742,True,ok,True,ok
mp_1018071_MnFe2Ge_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1018071_MnFe2Ge_feff_Fe_site_01,mp_1018071,MnFe2Ge,01,True,True,True,0.3277041425920028,True,ok,True,ok
mp_1018074_GaFeNi2_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1018074_GaFeNi2_feff_Fe_site_01,mp_1018074,GaFeNi2,01,True,True,True,0.3405475306842706,True,ok,True,ok
mp_1018075_FeSe_feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_1018075_FeSe_feff_Fe_site_01,mp_1018075,FeSe,01,True,True,True,0.27329245158215937,True,ok,True,ok
