mp_id,formula,folder_name,folder_path,site_nn,total_sites,valid_sites,prim_n_atoms,prim_reason
mp_761226,LiFe2BO32_,mp_761226_LiFe2BO32__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_761226_LiFe2BO32__feff_Fe_site_01,1,1,1,44,ok
mp_761227,Li5Fe8BO38_,mp_761227_Li5Fe8BO38__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_761227_Li5Fe8BO38__feff_Fe_site_01,1,1,1,45,ok
mp_761230,LiFe2BO32_,mp_761230_LiFe2BO32__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_761230_LiFe2BO32__feff_Fe_site_01,1,1,1,44,ok
mp_761231,LiFe2BO32_,mp_761231_LiFe2BO32__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_761231_LiFe2BO32__feff_Fe_site_01,1,1,1,44,ok
mp_761233,Li3FeO2F_,mp_761233_Li3FeO2F__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_761233_Li3FeO2F__feff_Fe_site_01,1,1,1,28,ok
mp_761234,Li3Fe8BO38_,mp_761234_Li3Fe8BO38__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_761234_Li3Fe8BO38__feff_Fe_site_01,1,1,1,43,ok
mp_761235,LiFe4BO34_,mp_761235_LiFe4BO34__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_761235_LiFe4BO34__feff_Fe_site_01,1,1,1,42,ok
mp_761241,Li3Fe8BO38_,mp_761241_Li3Fe8BO38__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_761241_Li3Fe8BO38__feff_Fe_site_01,1,1,1,43,ok
mp_761242,Li5Fe8BO38_,mp_761242_Li5Fe8BO38__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_761242_Li5Fe8BO38__feff_Fe_site_01,1,1,1,45,ok
mp_761243,Li5Fe8BO38_,mp_761243_Li5Fe8BO38__feff_Fe_site_01,C:\Users\T-Cat\Desktop\DiffCSP-main\site_dataset_Fe_only_oxide_one_site\mp_761243_Li5Fe8BO38__feff_Fe_site_01,1,1,1,45,ok
